name,price,url
Подвесной светильник Сансет White,2990,/product/podvesnoj-svetilnik-sanset-white
Подвесной светильник Кэндел Black,2590,/product/podvesnoj-svetilnik-kendel-black
Подвесной светильник Кэндел White,1990,/product/podvesnoj-svetilnik-kendel-white
Торшер Вена Beige,8590,/product/torsher-vena-beige
Настольная лампа Сфера Orange,4590,/product/nastolnaya-lampa-sfera-orange
Торшер Осло Black,14 990,/product/torsher-oslo-black
Подвесной светильник Кая Black,2490,/product/podvesnoj-svetilnik-kaya-black
Торшер Вена Black,9990,/product/torsher-vena-black
Подвесной светильник Кая White,2490,/product/podvesnoj-svetilnik-kaya-white
Торшер Осло White,14 990,/product/torsher-oslo-white
Настольная лампа Сканди White,4490,/product/nastolnaya-lampa-skandi-white
Настольная лампа Гровер Glass,3990,/product/nastolnaya-lampa-grover-glass
Настольная лампа Сфера Black,3990,/product/nastolnaya-lampa-sfera-black
Настольная лампа Машрум Grey,2990,/product/nastolnaya-lampa-mashrum-grey
Настольная лампа Спайк Green,990,/product/nastolnaya-lampa-spajk-green
Торшер Клауд White,13 990,/product/torsher-klaud-white
Настольная лампа Клауд White,8990,/product/nastolnaya-lampa-klaud-white
Настольная лампа Рэй Black,2990,/product/nastolnaya-lampa-rej-black
Торшер Рэй White,4590,/product/torsher-rej-white
Торшер Рэй Black,4590,/product/torsher-rej-black
Настольная лампа Спайк Orange,990,/product/nastolnaya-lampa-spajk-orange
Подвесной светильник Портланд Black,3190,/product/podvesnoj-svetilnik-portland-black
Настольная лампа Гросс White,2990,/product/nastolnaya-lampa-gross-white
Торшер Мун Black,4990,/product/torsher-mun-black
Торшер Билли White,13 990,/product/torsher-billi-white
Торшер Варио Black,5990,/product/torsher-vario-black
Настольная лампа Раффи Round,5790,/product/nastolnaya-lampa-raffi-round
Торшер Гросс White,4990,/product/torsher-gross-white
Торшер Раффи Round,8890,/product/torsher-raffi-round
Бра Moderli Alina,3390,/product/bra-moderli-alina
Подвесной светильник Маро Green,11 690,/product/podvesnoj-svetilnik-maro-green
Настольная лампа Рэй White,2990,/product/nastolnaya-lampa-rej-white
Бра Tarbes-2,3290,/product/bra-tarbes-2
Светильник потолочный Matthew,4990,/product/svetilnik-potolochnyj-matthew
Настольная лампа Junior-4,2990,/product/nastolnaya-lampa-junior-4
Торшер Шани Black,11 390,/product/torsher-shani-black
